state,ASC_1_Measure_State_Rate,ASC_2_Measure_State_Rate,ASC_3_Measure_State_Rate,ASC_4_Measure_State_Rate,ASC_5_Measure_State_Rate,ASC_6_State_Pct,Avg_ASC_7_State,Avg_Gastrointestinal_State,Avg_Eye_State,Avg_Genitourinary_State,Avg_Musculoskeletal_State,Avg_Nervous_System_State,Avg_Respiratory_State,Avg_Skin_State,Avg_ASC_8_State_Rate,Avg_ASC_9_State_Rate,Avg_ASC_10_State_Rate,Avg_ASC_11_State_Rate,Median_ASC_7_State,Median_Respiratory_State,Median_Eye_State,Median_Genitourinary_State,Median_Musculoskeletal_State,Median_Gastrointestinal_State,Median_Nervous_System_State,Median_Skin_State,Median_ASC_8_State_Rate,Median_ASC_9_State_Rate,Median_ASC_10_State_Rate,Median_ASC_11_State_Rate,ASC_12_Better,ASC_12_No_Different,ASC_12_Worse,ASC_12_Too_Small
AK,0.236,0,0,0.236,989.64,100.00%,"2,062","1,691",723,98,931,736,204,58,73.92,93.03,85.13,100,"2,119",203,582,85,"1,184","1,207",173,28,71.37,91.68,88.02,100,0,4,0,0
AL,0.077,0.154,0.011,0.374,978.45,100.00%,"6,588","4,106","2,226",86,"1,389",797,308,229,73.29,84.01,82.44,N/A (5),"4,552",235,"1,470",77,933,"3,138",440,81,76.23,90,81.85,N/A (5),0,22,0,1
AR,0.25,0.103,0.015,0.191,992.7,100.00%,"3,168","3,325","1,646",53,"1,122","1,121",171,187,80.28,84.2,69.23,100,"2,657",222,"1,352",37,719,"2,795",746,70,86.67,78.76,84.32,100,0,19,0,0
AZ,0.159,0.111,0.035,0.263,973.12,99.22%,"3,703","3,542","1,973",227,909,"1,905",458,230,74.63,83.78,67.98,N/A (5),"2,761",147,"1,410",85,605,"2,585",349,56,75,95.4,96.04,N/A (5),0,43,0,6
CA,0.169,0.053,0.032,0.315,967.61,100.00%,"2,868","2,339","1,251",132,783,615,145,164,75.13,75.4,68.2,94.94,"2,159",63,829,67,503,"1,583",228,49,83.44,85.71,85.18,100,0,225,0,52
CO,0.196,0.072,0,0.372,941.99,100.00%,"3,109","2,073","1,499",146,"1,059",703,245,133,94.76,88.89,63.78,98.5,"2,377",147,596,30,912,691,450,44,97.3,95.83,82.35,98.5,0,36,0,5
CT,0.071,0.024,0.024,0.472,991.5,100.00%,"4,257","4,405","2,260",167,"1,277","1,014",325,42,86.67,84.29,77.28,N/A (5),"3,570",341,"1,908",90,"1,043","5,106",355,18,88.41,97.13,98.96,N/A (5),0,22,0,0
DC,0,0.756,0,0,N/A (1),100.00%,"2,261","1,460",163,61,871,185,0,8,87.42,56.4,83.22,N/A (5),"1,774",0,163,61,871,785,185,8,93.94,52.23,63.98,N/A (5),0,3,0,0
DE,0.262,0.079,0.131,0.707,971.57,100.00%,"4,044","2,738","1,536",189,947,"2,039",151,266,75.32,70.19,77.85,N/A (5),"2,940",88,"1,446",97,709,"1,917",441,99,82.46,91,96.59,N/A (5),0,14,0,0
FL,0.086,0.086,0.029,0.316,982.06,100.00%,"4,391","3,543","1,876",365,993,986,164,200,57.91,64.29,77.68,98.93,"3,523",93,"1,110",105,529,"2,422",227,90,61.76,93.22,93.65,100,0,168,0,13
GA,0.208,0.063,0.024,0.315,984.7,100.00%,"3,014","3,379","2,038","1,013",980,"1,978",264,347,82.27,75.03,61.56,92.12,"2,444",158,"1,544",793,637,"2,860",811,42,82.35,88.15,84.7,95.96,0,64,0,7
GU,0,0,1.323,0,875,100.00%,"2,074",353,"1,258",68,281,7,49,58,8.77,0,N/A (5),N/A (5),"2,074",49,"1,258",68,281,353,7,58,8.77,0,N/A (5),N/A (5),0,2,0,0
HI,0,0.103,0,0,984.51,100.00%,"3,251","3,240","1,704",110,521,348,52,25,75.72,91.58,83.94,N/A (5),"3,284",51,"1,249",109,384,"3,120",84,7,80.49,95.3,96.16,N/A (5),0,11,0,1
IA,0.168,0,0.028,0.702,991.64,100.00%,"4,778","2,397","1,634",211,"1,498",867,250,168,89.38,95.12,92.94,N/A (5),"4,586",150,"1,475",181,"1,147","1,643",864,117,90.73,100,100,N/A (5),0,11,0,2
ID,0.177,0,0.035,0.318,912.13,100.00%,"2,381","2,117","1,499",190,687,589,153,192,72.12,87.21,72.54,86.12,"1,768",161,"1,041",14,523,498,217,31,78.48,88.87,96.97,90.74,0,12,0,4
IL,0.086,0.134,0.024,0.401,991.81,100.00%,"3,564","2,585","1,635",178,884,639,138,132,78.52,70.47,76.61,99.38,"2,690",57,"1,431",69,620,906,209,43,81.7,91.53,96.57,100,0,45,0,12
IN,0.133,0.022,0.007,0.519,928.35,100.00%,"3,406","2,245","1,830",298,773,"1,388",250,164,85.61,87.06,88.98,98.37,"2,416",188,"1,009",106,687,856,332,56,89.56,93.55,93.7,97.98,0,34,0,7
KS,0.047,0.095,0,0.712,995.65,100.00%,"2,737","1,829","1,540",238,818,246,330,309,84.08,85.53,80.8,100,"2,525",119,863,35,554,"1,343",169,95,86.42,94.12,92.71,100,0,22,0,4
