State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
"AK","Death rate for heart attack patients","MORT_30_AMI","0","5","0","15","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Death rate for heart failure patients","MORT_30_HF","0","9","0","14","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Death rate for pneumonia patients","MORT_30_PN","0","13","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Death rate for COPD patients","MORT_30_COPD","0","11","0","12","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Death rate for stroke patients","MORT_30_STK","0","8","0","15","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Death rate for CABG surgery patients","MORT_30_CABG","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"AK","Serious complications","PSI_90_SAFETY","0","9","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","8","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","7","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","4","0","2","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Pressure sores","PSI_3_ULCER","0","8","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","8","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Blood stream infection after surgery","PSI_13_POST_SEPSIS","0","6","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","0","7","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","6","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AK","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","0","6","0","0","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Death rate for heart attack patients","MORT_30_AMI","2","38","0","47","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Death rate for heart failure patients","MORT_30_HF","3","72","4","10","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Death rate for pneumonia patients","MORT_30_PN","10","71","3","5","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Death rate for COPD patients","MORT_30_COPD","2","76","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Death rate for stroke patients","MORT_30_STK","1","54","0","30","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Death rate for CABG surgery patients","MORT_30_CABG","1","21","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
"AL","Serious complications","PSI_90_SAFETY","3","82","0","Not Available","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","84","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","57","0","9","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","A wound that splits open after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","57","0","10","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","62","0","12","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","27","0","24","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Pressure sores","PSI_3_ULCER","3","79","2","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Broken hip from a fall after surgery","PSI_8_POST_HIP","0","84","0","1","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Blood stream infection after surgery","PSI_13_POST_SEPSIS","1","47","0","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Perioperative Hemorrhage or Hematoma Rate","PSI_9_POST_HEM","1","59","0","10","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Postoperative Acute Kidney Injury Requiring Dialysis Rate","PSI_10_POST_KIDNEY","0","48","1","6","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AL","Postoperative Respiratory Failure Rate","PSI_11_POST_RESP","4","45","0","5","20 - State and national averages do not include VHA hospital data.","10/01/2015","06/30/2017"
"AR","Death rate for heart attack patients","MORT_30_AMI","2","26","0","41","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Death rate for heart failure patients","MORT_30_HF","8","53","0","15","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Death rate for pneumonia patients","MORT_30_PN","11","62","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Death rate for COPD patients","MORT_30_COPD","1","63","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Death rate for stroke patients","MORT_30_STK","2","36","0","35","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Death rate for CABG surgery patients","MORT_30_CABG","2","14","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2014","06/30/2017"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","28","2","13","20 - State and national averages do not include VHA hospital data.","04/01/2014","03/31/2017"
