Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnotes,Measure Start Date,Measure End Date
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,284,488,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,109,487,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Preventive Care,IMM-2,Influenza Immunization,72,503,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,108,337,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,35,455,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Heart Attack Care,OP-5a,Median Time to ECG - Chest Pain,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Pregnancy and Delivery Care ,PC-01,Percent of Newborns whose Deliveries Were Scheduled Early (1-3 weeks) When a Scheduled Delivery Was Not Medically Necessary,0,32,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05015F,"60th MEDICAL GROUP, DAVID GRANT MEDICAL CENTER, TRAVIS",101 BODIN CIRCLE,TRAVIS AIR FORCE BASE,CA,94535,SOLANO,(707) 423-7300,Blood Clot Prevention and Treatment,VTE-6,Incidence of Potentially-Preventable Venous Thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Emergency Department Care,ED-1b,Median Time from ED Arrival to ED Departure for Admitted ED Patients - Reporting Measure,319,323,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Emergency Department Care,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients - Reporting Measure,130,316,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Preventive Care,IMM-2,Influenza Immunization,73,346,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Emergency Department Care,OP-18b,Median Time from ED Arrival to ED Departure for Discharged ED Patients - Reporting Measure,113,461,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Heart Attack Care,OP-2,Fibrinolytic Therapy Received within 30 minutes of Emergency Department Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Emergency Department Care,OP-20,Door to Diagnostic Evaluation by a Qualified Medical Professional,43,500,2 - Data submitted were based on a sample of cases/patients.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Emergency Department Care,OP-21,Median Time to Pain Management for Long Bone Fracture,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Stroke Care,OP-23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Heart Attack Care,OP-3,Median Time to Transfer to Another Facility for Acute Coronary,Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
05020F,NAVAL HOSPITAL CAMP PENDLETON,200 MERCY CIRCLE,CAMP PENDLETON,CA,92055,SAN DIEGO,(760) 725-1288,Heart Attack Care,OP-4,"Aspirin at Arrival, Chest Pain",Not Available,Not Available,7 - No cases met the criteria for this measure.,1/1/2017,12/31/2017
