Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,TRISS Measure ID,Survey Question,Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,Answer Percent,Answer Percent Footnote,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate,Survey Response Rate Footnote,Measure Start Date,Measure End Date
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,83%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,84%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,81%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,79%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,73%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,92%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,62%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,4,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,70%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,66%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,72%,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,3,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"BASSETT ARMY COMMUNITY HOSPITAL, FT. WAINWRIGHT",4076 NEELY RD,FORT WAINWRIGHT,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,263,,35%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,75%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,88%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,86%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,79%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,74%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,4,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,94%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,68%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,5,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,75%,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,517,,38%,,1/1/2017,12/31/2017
NOT/AVAIL,"673RD MEDICAL GROUP, ELMENDORF",5955 ZEAMER AVENUE,ELMENDORF AFB,AK,99506,ANCHORAGE,(907) 384-1110,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,67%,,517,,38%,,1/1/2017,12/31/2017
