Incentive Payment Range,Number of Hospitals Receiving this Range
">$1,000,000",420
"$950,001 to $1,000,000",34
"$900,001 to $950,000",37
"$850,001 to $900,000",41
"$800,001 to $850,000",60
"$750,001 to $800,000",49
"$700,001 to $750,000",57
"$650,001 to $700,000",80
"$600,001 to $650,000",74
"$550,001 to $600,000",91
"$500,001 to $550,000",97
"$450,001 to $500,000",117
"$400,001 to $450,000",138
"$350,001 to $400,000",135
"$300,001 to $350,000",161
"$250,001 to $300,000",170
"$200,001 to $250,000",198
"$150,001 to $200,000",224
"$100,001 to $150,000",261
"$50,001 to $100,000",326
"$1 to $50,000",254
$0 to $0,1
,
"Maximum Value Based Incentive Payment Amount: $6,887,444.18",
Number of Hospitals Receiving the Maximum Value Based Incentive Payment in FY 2016: 1,
