State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"AK","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.968","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.883","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","1.163","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.688","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.845","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.641","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.956","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.902","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.988","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.790","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.931","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.266","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.622","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.447","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.640","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.873","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.792","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.755","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.880","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.734","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.874","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.918","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.747","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.836","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.818","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.893","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.459","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","1.011","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.767","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.851","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.674","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.712","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.753","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.913","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.895","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.746","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.809","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OR","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.644","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.815","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"PR","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","1.546","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"RI","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","1.106","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SC","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.868","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"SD","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.641","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TN","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.783","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"TX","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.874","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"UT","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.572","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.775","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VI","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"VT","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.739","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WA","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.646","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WI","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.815","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WV","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.794","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"WY","Central Line Associated Bloodstream Infection (ICU + select Wards)","HAI_1_SIR","0.455","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AK","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.442","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.991","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","1.319","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit","HAI_1_CI_UPPER","0.780","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
