Measure Name,Measure ID,Condition,Category,Score,Footnote,Measure Start Date,Measure End Date
"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,Emergency Department,ED1,280,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_High_Min,Emergency Department,ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients,300,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_Low_Min,Emergency Department,ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients,208,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_Medium_Min,Emergency Department,ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients,263,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_Very_High_Min,Emergency Department,ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients,332,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,Emergency Department,ED2,102,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_High_Min,Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,118,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_Low_Min,Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,54,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_Medium_Min,Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,91,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_Very_High_Min,Emergency Department,ED2 - Admit decision time to emergency department departure time for admitted patient,142,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Patients assessed and given influenza vaccination Higher percentages are better,IMM_2,Preventive Care,Immunization for influenza,93,20 - State and national averages do not include VHA hospital data.,10/1/2016,3/31/2017
Healthcare workers given influenza vaccination Higher percentages are better,IMM_3_OP_27_FAC_ADHPCT,Preventive Care,Healthcare workers given influenza vaccination,89,20 - State and national averages do not include VHA hospital data.,10/1/2017,3/31/2018
Median Time to Fibrinolysis,OP_1,Heart Attack or Chest Pain,Median Time to Fibrinolysis,27,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,Emergency Department,OP-18,141,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_High_Min,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,160,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_Low_Min,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,111,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_Medium_Min,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,142,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_Very_High_Min,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,171,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,OP_18c,Emergency Department,OP-18,238,20 - State and national averages do not include VHA hospital data.,1/1/2017,12/31/2017
