State,Condition,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","180","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","67","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","101","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","98","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","143","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","67","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","42","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","67","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","81","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","46","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","135","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","68","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","87","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","49","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","20 - State and national averages do not include VHA hospital data.","01/01/2017","12/31/2017"
