Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.01,5058,,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,1.33,5058,,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,50,12,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,78,338,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,415,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,79,156,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,4330,KENNEBEC,2076238411,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),43,156,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.09,2562,,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,2562,,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,7,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,92,336,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,98,426,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,78,138,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
47001F,WHITE RIVER JCT VA MEDICAL CENTER,163 VETERANS DRIVE,WHITE RIVER JUNCTION,VT,5009,WINDSOR,8022959363,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),72,138,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.7,7698,,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,7698,,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,9,1 - The number of cases/patients is too few to report. 2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,97,454,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,100,522,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,83,373,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22001F,BEDFORD VA MEDICAL CENTER,200 SPRINGS ROAD,BEDFORD,MA,1730,MIDDLESEX,7812757500,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),83,373,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.49,27309,,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.01,27309,,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,69,29,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,SUB-1,Alcohol Use Screening,88,718,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,TOB-1,Tobacco Use Screening,98,893,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,TOB-2,Tobacco Use Treatment Provided or Offered,55,322,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,6172329500,Inpatient Psychiatric Facility Measures,TOB-2a,Tobacco Use Treatment (during the hospital stay),30,322,2 - Data submitted were based on a sample of cases/patients.,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.06,3222,,1/1/2016,12/31/2016
22009F,NORTHAMPTON VA MEDICAL CENTER,421 N MAIN ST,LEEDS,MA,1053,HAMPSHIRE,4135844040,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,3222,,1/1/2016,12/31/2016
