Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Numerator,Denominator,"Observed Rate Per 1,000",Footnote,Measure Start Date,Measure End Date
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Pressure Ulcer Rate (PSI03)","PSI-3","2","4555","0.44","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Inpatient Surgical Deaths (PSI04)","PSI-4","5","67","74.63","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Collapsed lung due to medical treatment (PSI06)","PSI-6","1","8489","0.12","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Central Venous Catheter-Related Blood Stream Infection (PSI07)","PSI-7","2","4574","0.44","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Postoperative Hip Fracture (PSI08)","PSI-8","0","6844","0","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Perioperative Bleeding/Bruise (PSI09)","PSI-9","5","2162","2.31","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Postoperative Kidney & Diabetic Complications (PSI10)","PSI-10","1","1453","0.69","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Postoperative Respiratory Failure (PSI11)","PSI-11","6","1088","5.51","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Perioperative Blood Clot/Embolism (PSI12)","PSI-12","6","2227","2.69","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Postoperative Sepsis (PSI13)","PSI-13","3","1418","2.12","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","A wound that splits open after surgery on the abdomen or pelvis (PSI14)","PSI-14","0","365","0","","10/01/2015","06/30/2017"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059334515","Accidental puncture or laceration from medical treatment (PSI15)","PSI-15","0","1042","0","","10/01/2015","06/30/2017"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","MONTGOMERY","AL","36109","MONTGOMERY","3342604100","Pressure Ulcer Rate (PSI03)","PSI-3","0","867","0","","10/01/2015","06/30/2017"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","MONTGOMERY","AL","36109","MONTGOMERY","3342604100","Inpatient Surgical Deaths (PSI04)","PSI-4","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","10/01/2015","06/30/2017"
