"Value of care measure name","Value of care measure ID","Number of hospitals","Measure start date","Measure end date"
"Value of Care for heart attack patients - Worse mortality & lower payment","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_LOWER","1","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Worse mortality & average payment","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_AVERAGE","19","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Worse mortality & higher payment ","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_HIGHER","4","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & lower payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_LOWER","186","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & average payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_AVERAGE","1853","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & higher payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_HIGHER","191","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & lower payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_LOWER","7","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & average payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_AVERAGE","33","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & higher payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_HIGHER","5","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & lower payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_LOWER","54","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & average payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_AVERAGE","129","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & higher payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_HIGHER","59","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & lower payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_LOWER","802","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & average payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_AVERAGE","2200","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & higher payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_HIGHER","678","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & lower payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_LOWER","39","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & average payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_AVERAGE","92","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & higher payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_HIGHER","91","2014-07-01 00:00:00","2017-06-30 00:00:00"
"Value of Care for heart failure patients - Worse mortality & lower payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_LOWER","27","2014-07-01 00:00:00","2017-06-30 00:00:00"
