Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Location
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"10000 BAY PINES BLVD.
BAY PINES, FL
"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"5500 E. KELLOG
WICHITA, KS
"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,No,Not Available,Star ratings are not calculated for VHA hospitals,"VA MEDICAL CENTER
PERRY POINT, MD
"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"ONE VETERANS DRIVE
MINNEAPOLIS, MN
"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"UNIVERSITY DRIVE
PITTSBURGH, PA
"
44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"CORNER OF LAMONT STREET AND VETERANS WAY
MOUNTAIN HOME, TN
"
51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,6053363230,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"2501 WEST 22ND STREET
SIOUX FALLS, SD
(43.532823, -96.754913)"
23037F,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,4646 JOHN R.,DETROIT,MI,48201,WAYNE,3135761000,ACUTE CARE - VETERANS ADMINISTRATION,Government - Federal,Yes,Not Available,Star ratings are not calculated for VHA hospitals,"4646 JOHN R.
DETROIT, MI
(42.35519, -83.060409)"
