"CMS Certification Number","Facility Name","Address","City","County","State","Zip","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"01C0001020","Medplex Outpatient Surgery Center","4511 Southlake Parkway","Birmingham",,"AL","35244",2059854398,,,,,,,,,,,,,,,,,"4",,,,,
"01C0001035","The Surgery Center","1440 Hwy Dr","Oxford",,"AL","36203",2562412614,,,,,,,,,,,,,,,,,"4",,,,,
"01C0001042","The Orthopaedic Center at Springhill","3715 Dauphin St, Ste. 503b","Mobile",,"AL","36608",2512724934,,,,,,,,,,,,,,,,,"4",,,,,
"01C0001051","Alabama Digestive Health Endoscopy Center (ADHEC)","2010 Brookwood Medical Ctr Dr  G100","Birmingham",,"AL","35209",2058771187,,,,,,,,,,,,,,,,,"4",,,,,
"02C0001011","Providence Surgery Center, LLC","3831 Piper St. S110","Anchorage",,"AK","99508",9073397800,,,,,,,,,,,,,,,,,"4",,,,,
"03C0001016","Uspi Surgery Center of Peoria","13260 N 94th Dr, Suite 200","Peoria",,"AZ","85381",6232344301,97,3,0,98,88,10,2,93,86,13,1,94,82,16,2,93,,1032,289,28,04/01/2017,03/31/2018
"03C0001045","Surgery Center of Scottsdale LLC","3131 W Peoria Ave","Phoenix",,"AZ","85029",6023751083,97,2,1,99,91,7,2,95,84,13,3,93,81,17,2,93,,854,141,17,04/01/2017,03/31/2018
"03C0001052","Warner Park Surgery CTR LLP","604 W Warner Rd","Chandler",,"AZ","85225",4808992571,95,4,1,97,91,7,2,95,83,15,2,93,79,18,3,91,,1025,382,37,04/01/2017,03/31/2018
"03C0001056","Surgery Center of Tempe, LLC","1940 E. Southern","Tempe",,"AZ","85282",4808207101,97,3,0,98,88,10,2,93,86,11,3,93,83,16,1,94,,977,293,30,04/01/2017,03/31/2018
"03C0001224","Canyon Surgery Center","6036 N. 19th Ave. Ste. 100","Phoenix",,"AZ","85015",6025898000,,,,,,,,,,,,,,,,,"4",,,,,
"03C0001247","Surgery Center of Scottsdale LLC","8962 East Desert Cove Ave","Scottsdale",,"AZ","85260",4806615232,98,1,1,99,91,7,2,94,87,11,2,95,82,14,4,92,,771,176,23,04/01/2017,03/31/2018
"03C0001265","St Joseph Outpatient Surgery Center LLC","240 W. Thomas Rd","Phoenix",,"AZ","85013",6024063552,96,3,1,98,89,9,2,94,82,15,3,93,83,16,1,94,,1341,303,23,04/01/2017,03/31/2018
"03C0001279","Chandler Endoscopy Center, LLC","2095 W. Pecos Rd., Suite A1","Chandler",,"AZ","85224",4802929795,96,4,0,98,91,6,3,94,89,8,3,95,86,12,2,94,,1121,334,30,04/01/2017,03/31/2018
"03C0001286","Digestive Health Specialists Endoscopy Center Arizona, LLC","8573 East Princess Dr, Suite 117","Scottsdale",,"AZ","85255",4805132455,,,,,,,,,,,,,,,,,"4",,,,,
"03C0001289","Carondelet St. Marys Northwest","2220 W. Orange Grove Rd","Tucson",,"AZ","85741",5208775665,,,,,,,,,,,,,,,,,"4",,,,,
"03C0001290","Camp Lowell Surgery Center","4620 E. Camp Lowell Dr","Tucson",,"AZ","85712",5206186058,,,,,,,,,,,,,,,,,"4",,,,,
"03C0001298","Surgical Elite of Avondale, LLC","10815 W. Mcdowell Rd. # 101","Avondale",,"AZ","85392",6234330110,97,3,0,99,90,8,2,94,84,14,2,94,80,17,3,92,,1413,312,22,04/01/2017,03/31/2018
"03C0001302","Metro Surgery Center, L.L.C","6790 W Thunderbird Rd","Peoria",,"AZ","85381",6239791717,95,4,1,97,90,8,2,94,83,13,4,93,82,13,5,91,,788,185,23,04/01/2017,03/31/2018
"03C0001305","Desert Ridge Outpatient Surgery Center","20940 N. Tatum Blvd. Ste. 100","Phoenix",,"AZ","85050",4805024020,97,2,1,98,90,8,2,94,88,9,3,94,86,11,3,94,,1078,365,34,04/01/2017,03/31/2018
"03C0001356","Mountain View Surgery Center of Glendale","18555 North 79th Ave, Building C","Glendale",,"AZ","85308",6237762500,94,5,1,96,89,9,2,94,85,12,3,93,80,16,4,91,,1013,227,22,04/01/2017,03/31/2018
"03C0001357","Mountain View Surgery Center of Gilbert","2450 East Guadalupe Rd, Suite 101","Gilbert",,"AZ","85234",4802283757,96,3,1,98,90,8,2,94,88,10,2,94,81,17,2,93,,1018,245,24,04/01/2017,03/31/2018
"05C0001001","River City Surgery Center","75 Scripps Dr.","Sacramento",,"CA","95821",9169299431,97,2,1,98,90,8,2,94,87,10,3,94,85,13,2,94,,1364,411,30,04/01/2017,03/31/2018
"05C0001006","San Gabriel Valley Surgical Center","1250 S. Sunset Ave # 100","West Covina",,"CA","91790",6263382319,95,4,1,97,83,12,5,89,78,18,4,91,76,21,3,90,,1195,382,32,04/01/2017,03/31/2018
"05C0001016","Santa Rosa Ambulatory and Endoscopy Center","34 Mark West Springs Rd, Suite 100","Santa Rosa",,"CA","95403",7075413503,97,2,1,98,93,5,2,96,88,10,2,95,88,10,2,95,,1418,461,33,04/01/2017,03/31/2018
"05C0001092","Surgicenter of Palo Alto","795 El Camino Real","Palo Alto",,"CA","94301",6503241832,98,2,0,99,90,9,1,94,89,9,2,95,90,8,2,96,,2137,605,28,04/01/2017,03/31/2018
"05C0001133","Briggsmore Specialty Center","1409 E Briggsmore Ave","Modesto",,"CA","95355",2095504731,99,1,0,99,95,4,1,97,92,7,1,96,89,8,3,95,,1586,512,32,04/01/2017,03/31/2018
"05C0001175","San Leandro Surgery Center","15035 East 14th St","San Leandro",,"CA","94578",5102762800,97,3,0,98,89,8,3,93,81,17,2,92,83,15,2,93,,1264,390,31,04/01/2017,03/31/2018
"05C0001198","Healthcare Partner Ambulatory Surgery Center","2600 Redondo Ave, Suite 103","Long Beach",,"CA","90806",5629887162,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001200","Sutter Auburn Surgery Center","3123 Professional Dr, Ste, 100-A","Auburn",,"CA","95603",5308888899,98,2,0,99,94,5,1,96,88,10,2,95,89,10,1,96,,1029,458,45,04/01/2017,03/31/2018
"05C0001205","North Anaheim Surgicenter","1154 N Euclid St","Anaheim",,"CA","92801",7146356272,97,3,0,99,91,7,2,95,88,10,2,95,87,11,2,95,,1373,501,36,04/01/2017,03/31/2018
"05C0001236","Sutter Alhambra Surgery Center","1201 Alhambra Blvd","West Sacramento",,"CA","95816",9167338222,97,3,0,98,93,6,1,96,89,10,1,95,87,11,2,95,,1516,443,29,04/01/2017,03/31/2018
"05C0001287","The Endoscopy Center","870 Shasta St, Suite 100","Yuba City",,"CA","95991",5306713671,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001321","El Mirador Surgical Center","1180 N. Indian Canyon #110","Palm Springs",,"CA","92262",4698936573,95,5,0,97,86,11,3,91,84,13,3,93,85,13,2,94,,1068,364,34,04/01/2017,03/31/2018
"05C0001370","Mid Peninsula Endoscopy","50 South San Matei Dr, Ste. 400","San Mateo",,"CA","94401",6503731970,97,3,0,98,89,8,3,93,87,11,2,94,87,12,1,95,,1209,435,36,04/01/2017,03/31/2018
"05C0001447","Coast Surgery Center, LP","3445 Pacific Coast Hwy. # 110","Torrance",,"CA","90505",3103254555,94,5,1,97,86,10,4,91,85,11,4,93,83,15,2,93,,1131,310,27,04/01/2017,03/31/2018
"05C0001453","Chico Surgery Center","615 W. East Ave.","Chico",,"CA","95926",5308951800,94,5,1,96,86,10,4,91,78,18,4,92,82,15,3,93,,954,321,34,04/01/2017,03/31/2018
"05C0001463","East Bay Endoscopy Center","5858 Horton St Suite 100","Emeryville",,"CA","94608",5106544554,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001481","Pain Diagnostic & Treaatment Center","2805 J. St, Suite 200","Sacramento",,"CA","95816",9162318793,97,3,0,98,91,6,3,94,86,11,3,94,83,15,2,93,,1103,306,28,04/01/2017,03/31/2018
"05C0001493","North State Surgery Center","2184 Ct St.","Redding",,"CA","96001",5302257417,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001505","Magnolia Surgery Center","14571 Magnolia St, # 107","Westminster",,"CA","92683",7149039039,94,6,0,97,86,10,4,91,69,24,7,88,71,24,5,88,,1454,300,21,04/01/2017,03/31/2018
"05C0001508","Ambulatory Surgery Center of Stockton","2338 N California Strret","Stockton",,"CA","95204",2099449100,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001515","Sequoia Surgical Pavilion","2405 Shadelands Dr, Suite 200","Walnut Creek",,"CA","94598",9252803814,98,2,0,99,93,5,2,96,92,6,2,96,90,8,2,95,,1242,369,30,04/01/2017,03/31/2018
"05C0001534","Folsom Surgery Center","1651 Creekside Dr. Ste. 100","Folsom",,"CA","95630",9166731990,97,3,0,99,92,6,2,95,88,11,1,95,89,10,1,96,,1192,386,32,04/01/2017,03/31/2018
"05C0001558","Pacific End-Surgical Center","3445 Pacific Coast Hwy. # 120","Torrance",,"CA","90505",3103261666,96,4,0,98,87,9,4,91,78,21,1,92,77,21,2,91,,825,271,33,04/01/2017,03/31/2018
"05C0001572","Roseville Surgery Center","1420 E. Roseville Pkwy # 100","Roseville",,"CA","95661",9166772488,96,3,1,98,90,9,1,94,82,15,3,93,79,18,3,92,,1363,450,33,04/01/2017,03/31/2018
"05C0001596","Tresanti Surgical Center","5201 Norris Canyon Rd., # 100","San Ramon",,"CA","94583",9259730605,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001608","South Placer Surgery Center","8723 Sierra College Blvd","Roseville",,"CA","95661",9166775070,97,2,1,98,91,7,2,94,87,9,4,94,88,10,2,95,,1260,487,39,04/01/2017,03/31/2018
"05C0001627","San Francisco Endoscopy Center","3468 California St","San Francisco",,"CA","94118",4153457500,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001635","Capitol City Surgery Center","1800 Tribute Rd. #100","Sacramento",,"CA","95815",9169252700,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001640","Sutter Amador Surgery Center, LLC","223 Clinton Rd. Ste. 204","Jackson",,"CA","95642",2092235938,98,2,0,99,92,6,2,95,88,11,1,95,83,14,3,92,,947,385,41,04/01/2017,03/31/2018
"05C0001643","North State Surgery Center","2175 Rosaline Ave. Ste. A","Redding",,"CA","96001",5302257417,97,3,0,98,90,8,2,94,88,11,1,95,86,11,3,94,,1129,402,36,04/01/2017,03/31/2018
"05C0001663","Skyway Surgery Center","121 Raley Blvd","Chico",,"CA","95928",5302302007,98,2,0,99,91,8,1,95,91,8,1,96,89,9,2,95,,1197,559,47,04/01/2017,03/31/2018
"05C0001711","St. Joseph's Surgery Center","1800 N. California St. Ste. 1","Stockton",,"CA","95204",2099448393,97,3,0,98,90,6,4,93,87,11,2,95,87,12,1,95,,1180,281,24,04/01/2017,03/31/2018
"05C0001719","Scripps Clinic","3811 Valley Centre Dr.","San Diego",,"CA","92130",8586786955,,,,,,,,,,,,,,,,,"4",,,,,
"05C0001734","Sutter Medical Foundatino North - ASC","460 Plumas Blvd., Suite 202","Yuba City",,"CA","95991",5307495516,97,3,0,99,93,6,1,96,89,9,2,95,87,10,3,94,,1547,517,33,04/01/2017,03/31/2018
"05C0001737","Peninsula Eye Surgery Center","1128 W. El Camino Real","Mountain View",,"CA","94040",6509643200,97,3,0,98,91,7,2,94,86,12,2,94,86,11,3,94,,1117,511,46,04/01/2017,03/31/2018
