"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"Alabama",,,,,,,,,,,,,,,,,,,,,
"Alaska",,,,,,,,,,,,,,,,,,,,,
"American Samoa",,,,,,,,,,,,,,,,,,,,,
"Arizona",96,3,1,98,90,8,2,94,85,12,3,94,82,15,3,93,12431,3252,26,04/01/2017,03/31/2018
"Arkansas",,,,,,,,,,,,,,,,,,,,,
"California",97,3,0,98,90,8,2,94,87,11,2,94,86,12,2,94,55313,17644,32,04/01/2017,03/31/2018
"Colorado",98,1,1,99,92,7,1,95,87,11,2,94,85,13,2,94,7441,2242,30,04/01/2017,03/31/2018
"Commonwealth of the Northern Marianas Islands",,,,,,,,,,,,,,,,,,,,,
"Connecticut",98,2,0,99,91,7,2,94,88,10,2,95,86,12,2,95,2302,687,30,04/01/2017,03/31/2018
"Delaware",,,,,,,,,,,,,,,,,,,,,
"District of Columbia",,,,,,,,,,,,,,,,,,,,,
"Florida",97,3,0,98,90,8,2,94,87,11,2,94,86,12,2,94,22258,7763,35,04/01/2017,03/31/2018
"Georgia",98,2,0,99,91,7,2,95,90,8,2,95,89,9,2,95,13200,3617,27,04/01/2017,03/31/2018
"Guam",,,,,,,,,,,,,,,,,,,,,
"Hawaii",,,,,,,,,,,,,,,,,,,,,
"Idaho",,,,,,,,,,,,,,,,,,,,,
"Illinois",98,2,0,99,93,6,1,96,87,11,2,94,86,13,1,94,7319,2589,35,04/01/2017,03/31/2018
"Indiana",98,2,0,99,93,5,2,96,91,8,1,96,90,9,1,96,2361,956,40,04/01/2017,03/31/2018
"Iowa",96,4,0,98,89,9,2,94,84,13,3,93,83,16,1,94,1307,521,40,04/01/2017,03/31/2018
"Kansas",,,,,,,,,,,,,,,,,,,,,
"Kentucky",,,,,,,,,,,,,,,,,,,,,
"Louisiana",98,2,0,99,93,5,2,96,90,8,2,96,90,9,1,96,5475,1967,36,04/01/2017,03/31/2018
"Maine",98,2,0,99,90,8,2,94,91,8,1,95,88,11,1,96,1194,372,31,04/01/2017,03/31/2018
"Maryland",,,,,,,,,,,,,,,,,,,,,
"Massachusetts",96,4,0,98,92,6,2,95,84,14,2,94,87,13,0,95,1252,449,36,04/01/2017,03/31/2018
"Michigan",98,2,0,99,91,7,2,95,89,10,1,95,88,11,1,95,5320,2342,44,04/01/2017,03/31/2018
"Minnesota",98,2,0,99,93,6,1,96,89,9,2,95,88,10,2,95,5503,1860,34,04/01/2017,03/31/2018
"Mississippi",97,2,1,99,91,6,3,95,91,7,2,96,90,9,1,97,3580,1007,28,04/01/2017,03/31/2018
"Missouri",97,3,0,98,92,6,2,95,89,9,2,95,86,13,1,94,21226,7810,37,04/01/2017,03/31/2018
"Montana",98,2,0,99,90,9,1,95,88,11,1,95,91,8,1,97,1255,413,33,04/01/2017,03/31/2018
"Nebraska",,,,,,,,,,,,,,,,,,,,,
"Nevada",96,4,0,98,89,8,3,93,86,12,2,94,84,14,2,94,2615,740,28,04/01/2017,03/31/2018
"New Hampshire",99,1,0,99,94,5,1,97,92,7,1,96,90,8,2,96,5362,1555,29,04/01/2017,03/31/2018
"New Jersey",97,3,0,99,90,8,2,94,87,11,2,94,85,13,2,94,19281,5913,31,04/01/2017,03/31/2018
"New Mexico",95,5,0,97,90,7,3,94,85,12,3,94,83,15,2,93,1193,335,28,04/01/2017,03/31/2018
"New York",,,,,,,,,,,,,,,,,,,,,
"North Carolina",97,3,0,98,92,7,1,95,90,8,2,95,87,11,2,95,7889,1927,25,04/01/2017,03/31/2018
"North Dakota",,,,,,,,,,,,,,,,,,,,,
"Ohio",97,3,0,98,91,8,1,95,91,8,1,96,88,11,1,95,3533,1498,42,04/01/2017,03/31/2018
"Oklahoma",96,3,1,98,90,8,2,94,86,11,3,94,85,12,3,94,4198,1601,38,04/01/2017,03/31/2018
"Oregon",97,3,0,98,92,7,1,95,86,12,2,95,87,11,2,95,6592,2246,34,04/01/2017,03/31/2018
"Pennsylvania",98,2,0,99,91,7,2,94,88,10,2,94,86,12,2,94,6399,2380,37,04/01/2017,03/31/2018
"Puerto Rico",,,,,,,,,,,,,,,,,,,,,
"Rhode Island",,,,,,,,,,,,,,,,,,,,,
"South Carolina",97,3,0,98,91,7,2,95,87,12,1,94,89,10,1,95,3435,1454,42,04/01/2017,03/31/2018
