"CMS Certification Number","Facility Name","Address","City","County","State","Zip","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"010005","MARSHALL MEDICAL CENTERS","2505 U S Highway 431 North","Boaz",,"AL","35957",2565938310,96,3,1,98,92,7,1,95,83,15,2,94,85,14,1,94,,5082,1724,35,04/01/2017,03/31/2018
"010008","CRENSHAW COMMUNITY HOSPITAL","101 Hospital Circle","Luverne",,"AL","36049",3343353374,97,2,1,98,94,4,2,96,78,17,5,91,80,16,4,92,"3",194,76,40,04/01/2017,03/31/2018
"010019","HELEN KELLER HOSPITAL","1300 South Montgomery Avenue","Sheffield",,"AL","35660",2563864556,,,,,,,,,,,,,,,,,"4",,,,,
"010021","DALE MEDICAL CENTER","126 Hospital Ave","Ozark",,"AL","36360",3347742601,97,3,0,99,94,5,1,97,85,13,2,94,90,9,1,96,,719,306,43,04/01/2017,03/31/2018
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619  19th Street South","Birmingham",,"AL","35249",2059344011,95,4,1,97,92,7,1,95,87,10,3,94,88,10,2,95,,2880,704,24,04/01/2017,03/31/2018
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 Alabama Highway 157,p O Box 1108 (35056)","Cullman",,"AL","35058",2567372000,96,4,0,98,93,5,2,95,83,14,3,93,77,22,1,92,,2194,695,32,04/01/2017,03/31/2018
"010039","HUNTSVILLE HOSPITAL","101 Sivley Rd","Huntsville",,"AL","35801",2562651000,,,,,,,,,,,,,,,,,"4",,,,,
"010044","MARION REGIONAL MEDICAL CENTER","1256 Military Street South","Hamilton",,"AL","35570",2059216200,96,4,0,98,99,1,0,100,91,9,0,95,81,19,0,94,"2;3",97,31,32,04/01/2017,03/31/2018
"010045","FAYETTE MEDICAL CENTER","1653 North Temple Avenue","Fayette",,"AL","35555",2059325966,98,2,0,99,94,5,1,96,89,10,1,95,87,11,2,95,,995,337,34,04/01/2017,03/31/2018
"010059","LAWRENCE MEDICAL CENTER","202 Hospital Street","Moulton",,"AL","35650",2569742200,,,,,,,,,,,,,,,,,"4",,,,,
