"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Measure Start Date","Measure End Date"
"Alabama",96,3,1,98,92,6,2,95,81,16,3,93,82,16,2,93,38295,11408,30,04/01/2017,03/31/2018
"Alaska",97,3,0,99,94,5,1,97,86,11,3,94,86,12,2,95,2487,603,24,04/01/2017,03/31/2018
"American Samoa",,,,,,,,,,,,,,,,,,,,,
"Arizona",97,3,0,98,90,8,2,94,85,13,2,94,84,14,2,93,12877,3819,30,04/01/2017,03/31/2018
"Arkansas",96,4,0,98,90,8,2,94,85,12,3,94,85,12,3,94,11477,3286,29,04/01/2017,03/31/2018
"California",95,4,1,97,89,8,3,93,83,14,3,93,81,16,3,92,110423,27270,26,04/01/2017,03/31/2018
"Colorado",97,3,0,98,91,7,2,94,85,13,2,93,84,14,2,94,26623,7543,28,04/01/2017,03/31/2018
"Commonwealth of the Northern Marianas Islands",,,,,,,,,,,,,,,,,,,,,
"Connecticut",97,3,0,98,90,8,2,94,86,13,1,95,87,12,1,95,3431,851,25,04/01/2017,03/31/2018
"Delaware",98,2,0,99,92,6,2,95,85,12,3,93,81,18,1,93,3818,1020,27,04/01/2017,03/31/2018
"District of Columbia",94,5,1,97,90,8,2,94,79,17,4,92,80,16,4,91,9808,2004,20,04/01/2017,03/31/2018
"Florida",96,3,1,98,89,9,2,93,83,14,3,93,82,16,2,93,53506,13794,26,04/01/2017,03/31/2018
"Georgia",96,3,1,98,91,7,2,94,83,14,3,93,82,15,3,92,48856,11712,24,04/01/2017,03/31/2018
"Guam",,,,,,,,,,,,,,,,,,,,,
"Hawaii",,,,,,,,,,,,,,,,,,,,,
"Idaho",97,3,0,98,91,7,2,94,84,14,2,94,84,15,1,94,4802,1305,32,04/01/2017,03/31/2018
"Illinois",98,2,0,98,92,6,2,95,86,12,2,94,82,16,2,93,42234,13780,33,04/01/2017,03/31/2018
"Indiana",97,3,0,99,91,7,2,95,86,11,3,94,81,17,2,93,24661,6989,29,04/01/2017,03/31/2018
"Iowa",98,2,0,99,91,7,2,95,85,13,2,94,81,17,2,93,25808,8166,32,04/01/2017,03/31/2018
"Kansas",96,3,1,98,89,8,3,93,78,18,4,92,73,24,3,90,4682,1361,29,04/01/2017,03/31/2018
"Kentucky",96,3,1,98,91,6,3,94,81,16,3,93,82,16,2,93,29953,7626,26,04/01/2017,03/31/2018
"Louisiana",96,3,1,98,92,6,2,95,87,11,2,94,85,13,2,94,32494,8335,26,04/01/2017,03/31/2018
"Maine",97,3,0,99,92,7,1,95,84,13,3,93,81,17,2,93,24395,7619,31,04/01/2017,03/31/2018
"Maryland",97,3,0,98,91,7,2,94,83,14,3,93,79,19,2,92,27258,7160,26,04/01/2017,03/31/2018
"Massachusetts",97,3,0,98,91,7,2,94,86,12,2,94,84,14,2,93,20912,5661,28,04/01/2017,03/31/2018
"Michigan",97,3,0,99,92,6,2,95,84,14,2,94,82,16,2,93,21047,6283,30,04/01/2017,03/31/2018
"Minnesota",98,2,0,99,91,7,2,95,85,13,2,94,83,15,2,93,21787,7085,33,04/01/2017,03/31/2018
"Mississippi",96,3,1,97,90,8,2,94,82,14,4,93,82,15,3,92,31210,7290,23,04/01/2017,03/31/2018
"Missouri",97,3,0,98,91,7,2,95,85,13,2,94,80,18,2,92,27293,7970,29,04/01/2017,03/31/2018
"Montana",97,3,0,98,90,8,2,94,81,16,3,93,80,18,2,93,13989,4538,33,04/01/2017,03/31/2018
"Nebraska",98,2,0,99,91,7,2,95,84,14,2,94,79,19,2,92,8034,2890,36,04/01/2017,03/31/2018
"Nevada",94,5,1,96,86,10,4,91,77,18,5,91,76,20,4,90,8799,2150,25,04/01/2017,03/31/2018
"New Hampshire",97,3,0,98,92,7,1,95,84,13,3,93,82,16,2,93,9892,3026,31,04/01/2017,03/31/2018
"New Jersey",96,3,1,98,90,8,2,94,82,15,3,93,80,17,3,92,9064,1579,18,04/01/2017,03/31/2018
